timestamp,request_id,cpu_utilization,bw_utilization,mem_utilization,num_used_nodes,num_used_links
2025-12-04T19:09:52.583423,REQ_1,0.0958,0.0875,0.1722,3,4
2025-12-04T19:09:53.260368,REQ_1,0.1917,0.0875,0.3444,3,5
2025-12-04T19:09:53.260368,REQ_1,0.2875,0.0875,0.5167,3,6
2025-12-04T19:09:53.261369,REQ_1,0.2875,0.0875,0.5167,4,9
2025-12-04T19:09:53.261369,REQ_1,0.3594,0.0875,0.6458,4,10
2025-12-04T19:09:53.311448,REQ_8,0.1125,0.0875,0.1722,3,4
2025-12-04T19:09:53.312448,REQ_8,0.2250,0.0875,0.3444,3,5
2025-12-04T19:09:53.312448,REQ_8,0.3375,0.0875,0.5167,3,6
2025-12-04T19:09:53.313448,REQ_8,0.3375,0.0875,0.5167,4,9
2025-12-04T19:09:53.313448,REQ_8,0.4219,0.0875,0.6458,4,11
2025-12-04T19:09:53.393962,REQ_22,0.1125,0.0625,0.0722,3,5
2025-12-04T19:09:53.394961,REQ_22,0.2250,0.0625,0.1444,3,6
2025-12-04T19:09:53.394961,REQ_22,0.3375,0.0625,0.2167,3,7
2025-12-04T19:09:53.395961,REQ_22,0.4500,0.0625,0.2889,3,8
2025-12-04T19:09:53.395961,REQ_22,0.5625,0.0625,0.3611,3,10
2025-12-04T19:09:53.431082,REQ_25,0.0833,0.0625,0.1222,3,5
2025-12-04T19:09:53.431082,REQ_25,0.1667,0.0625,0.2444,3,7
2025-12-04T19:09:53.431082,REQ_25,0.1875,0.0625,0.2750,4,8
2025-12-04T19:09:53.432086,REQ_25,0.2500,0.0625,0.3667,4,13
2025-12-04T19:09:53.432086,REQ_25,0.3125,0.0625,0.4583,4,15
2025-12-04T19:09:53.527145,REQ_38,0.1042,0.0625,0.0722,3,3
2025-12-04T19:09:53.527652,REQ_38,0.2083,0.0625,0.1444,3,4
2025-12-04T19:09:53.527652,REQ_38,0.3125,0.0625,0.2167,3,7
2025-12-04T19:09:53.527652,REQ_38,0.3125,0.0625,0.2167,4,8
2025-12-04T19:09:53.528654,REQ_38,0.3906,0.0625,0.2708,4,10
2025-12-04T19:09:53.555674,REQ_42,0.1208,0.0875,0.1611,3,5
2025-12-04T19:09:53.558183,REQ_42,0.2417,0.0875,0.3222,3,7
2025-12-04T19:09:53.558183,REQ_42,0.3625,0.0875,0.4833,3,8
2025-12-04T19:09:53.559183,REQ_42,0.3625,0.0875,0.4833,4,9
2025-12-04T19:09:53.559183,REQ_42,0.4531,0.0875,0.6042,4,11
2025-12-04T19:09:53.580310,REQ_48,0.1542,0.1000,0.1222,3,4
2025-12-04T19:09:53.581207,REQ_48,0.3083,0.1000,0.2444,3,5
2025-12-04T19:09:54.075800,REQ_48,0.4625,0.1000,0.3667,3,8
2025-12-04T19:09:54.075800,REQ_48,0.6167,0.1000,0.4889,3,13
2025-12-04T19:09:54.075800,REQ_48,0.7708,0.1000,0.6111,3,14
2025-12-04T19:09:54.115393,REQ_55,0.0917,0.0625,0.0944,3,3
2025-12-04T19:09:54.115393,REQ_55,0.1833,0.0625,0.1889,3,4
2025-12-04T19:09:54.116395,REQ_55,0.2750,0.0625,0.2833,3,8
2025-12-04T19:09:54.116395,REQ_55,0.2750,0.0625,0.2833,4,9
