time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.3930
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0280
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0142
8,REQ_25,VNF_2->VNF_3->VNF_8,5,5,0,100.0000,75.0000,110.0000,100.0000,75.0000,110.0000,4,15,0.3125,0.0625,0.4583,15,3.00,True,False,False,,,,0.0290
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0289
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0273
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,112.0000,110.0000,185.0000,112.0000,110.0000,3,14,0.7708,0.1000,0.6111,14,2.80,True,False,False,,,,0.5649
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2831
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,48.0000,90.0000,65.0000,48.0000,90.0000,3,12,0.2708,0.0500,0.5000,12,2.40,True,False,False,,,,0.2807
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,44.0000,55.0000,105.0000,44.0000,55.0000,4,11,0.3281,0.0500,0.2292,11,2.20,True,False,False,,,,0.2810
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,55.0000,80.0000,130.0000,55.0000,80.0000,4,11,0.4062,0.0625,0.3333,11,2.20,True,False,False,,,,0.2842
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,185.0000,80.0000,95.0000,185.0000,80.0000,95.0000,4,10,0.5781,0.1000,0.3958,10,2.00,True,False,False,,,,0.2901
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,180.0000,66.0000,90.0000,180.0000,66.0000,90.0000,4,11,0.5625,0.0750,0.3750,11,2.20,True,False,False,,,,0.2844
27,REQ_118,VNF_4->VNF_7->VNF_1,5,5,0,165.0000,54.0000,60.0000,165.0000,54.0000,60.0000,3,9,0.6875,0.0750,0.3333,9,1.80,True,False,False,,,,0.2820
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,120.0000,55.0000,80.0000,120.0000,55.0000,80.0000,4,11,0.3750,0.0625,0.3333,11,2.20,True,False,False,,,,0.2973
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,115.0000,60.0000,70.0000,115.0000,60.0000,70.0000,5,12,0.2875,0.0625,0.2333,12,2.40,True,False,False,,,,0.2958
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,100.0000,70.0000,190.0000,100.0000,70.0000,190.0000,3,10,0.4167,0.0875,1.0556,10,2.00,True,False,False,,,,0.2780
34,REQ_150,VNF_6->VNF_3->VNF_4,5,5,0,80.0000,90.0000,95.0000,80.0000,65.0000,95.0000,5,13,0.2000,0.0625,0.3167,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4921
35,REQ_156,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,80.0000,70.0000,135.0000,60.0000,70.0000,6,12,0.2812,0.0625,0.1944,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4993
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,90.0000,72.0000,80.0000,90.0000,48.0000,80.0000,7,12,0.1607,0.0500,0.1905,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4620
37,REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,185.0000,128.0000,125.0000,185.0000,104.0000,125.0000,7,13,0.3304,0.1000,0.2976,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4608
38,REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,115.0000,75.0000,70.0000,115.0000,55.0000,70.0000,4,11,0.3594,0.0625,0.2917,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4792
39,REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,180.0000,112.0000,135.0000,180.0000,96.0000,135.0000,5,12,0.4500,0.1000,0.4500,14,2.80,True,False,True,resource_aware,,,0.4910
40,REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,220.0000,160.0000,90.0000,220.0000,104.0000,90.0000,9,13,0.3056,0.1000,0.1667,20,4.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4682
41,REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,220.0000,88.0000,120.0000,220.0000,88.0000,120.0000,4,11,0.6875,0.1000,0.5000,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.5044
42,REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,180.0000,84.0000,120.0000,180.0000,84.0000,120.0000,4,12,0.5625,0.0875,0.5000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4741
43,REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,160.0000,102.0000,95.0000,160.0000,84.0000,95.0000,4,14,0.5000,0.0750,0.3958,17,3.40,True,False,True,resource_aware,,,0.4968
44,REQ_193,VNF_3->VNF_2->VNF_5,5,5,0,60.0000,48.0000,110.0000,60.0000,48.0000,110.0000,4,12,0.1875,0.0500,0.4583,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6129
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,75.0000,70.0000,135.0000,60.0000,70.0000,4,12,0.4219,0.0625,0.2917,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.5685
46,REQ_202,VNF_1->VNF_3->VNF_5,5,5,0,120.0000,98.0000,140.0000,120.0000,84.0000,140.0000,5,12,0.3000,0.0875,0.4667,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.5220
47,REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,85.0000,64.0000,90.0000,85.0000,44.0000,90.0000,6,11,0.1771,0.0500,0.2500,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.5130
48,REQ_208,VNF_7->VNF_4->VNF_5,5,5,0,90.0000,52.0000,70.0000,90.0000,40.0000,70.0000,4,10,0.2812,0.0500,0.2917,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.5291
49,REQ_212,VNF_4->VNF_8->VNF_3,5,5,0,100.0000,78.0000,110.0000,100.0000,72.0000,110.0000,2,12,0.6250,0.0750,0.9167,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.5559
50,REQ_217,VNF_5->VNF_7->VNF_2,5,5,0,105.0000,60.0000,85.0000,105.0000,52.0000,85.0000,3,13,0.4375,0.0500,0.4722,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.5971
51,REQ_224,VNF_5->VNF_4->VNF_8,5,5,0,105.0000,72.0000,105.0000,105.0000,60.0000,105.0000,4,10,0.3281,0.0750,0.4375,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.8520
