time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.3482
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0141
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0085
10,REQ_32,VNF_3->VNF_8->VNF_5,5,5,0,115.0000,91.0000,150.0000,115.0000,91.0000,150.0000,3,13,0.4792,0.0875,0.8333,13,2.60,True,False,False,,,,0.0095
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0100
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0080
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,80.0000,110.0000,185.0000,80.0000,110.0000,4,10,0.5781,0.1000,0.4583,10,2.00,True,False,False,,,,0.5919
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,3,10,0.4167,0.0500,0.3889,10,2.00,True,False,False,,,,0.2251
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2156
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,44.0000,90.0000,65.0000,44.0000,90.0000,3,11,0.2708,0.0500,0.5000,11,2.20,True,False,False,,,,0.2143
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,56.0000,55.0000,105.0000,56.0000,55.0000,4,14,0.3281,0.0500,0.2292,14,2.80,True,False,False,,,,0.2156
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,70.0000,80.0000,130.0000,70.0000,80.0000,4,14,0.4062,0.0625,0.3333,14,2.80,True,False,False,,,,0.2192
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,185.0000,80.0000,95.0000,185.0000,80.0000,95.0000,4,10,0.5781,0.1000,0.3958,10,2.00,True,False,False,,,,0.2209
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,180.0000,60.0000,90.0000,180.0000,60.0000,90.0000,4,10,0.5625,0.0750,0.3750,10,2.00,True,False,False,,,,0.2137
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,120.0000,60.0000,80.0000,120.0000,60.0000,80.0000,4,12,0.3750,0.0625,0.3333,12,2.40,True,False,False,,,,0.2171
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,115.0000,55.0000,70.0000,115.0000,55.0000,70.0000,4,11,0.3594,0.0625,0.2917,11,2.20,True,False,False,,,,0.2139
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,100.0000,70.0000,190.0000,100.0000,70.0000,190.0000,4,10,0.3125,0.0875,0.7917,10,2.00,True,False,False,,,,0.2135
33,REQ_146,VNF_7->VNF_1->VNF_4,5,5,0,195.0000,105.0000,70.0000,195.0000,77.0000,70.0000,4,11,0.6094,0.0875,0.2917,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.3931
34,REQ_150,VNF_6->VNF_3->VNF_4,5,5,0,80.0000,80.0000,95.0000,80.0000,60.0000,95.0000,6,12,0.1667,0.0625,0.2639,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.3732
35,REQ_156,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,75.0000,70.0000,135.0000,60.0000,70.0000,5,12,0.3375,0.0625,0.2333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.3691
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,90.0000,64.0000,80.0000,90.0000,48.0000,80.0000,5,12,0.2250,0.0500,0.2667,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.3693
37,REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,185.0000,104.0000,125.0000,185.0000,88.0000,125.0000,5,11,0.4625,0.1000,0.4167,13,2.60,True,False,True,resource_aware,,,0.3737
38,REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,115.0000,80.0000,70.0000,115.0000,70.0000,70.0000,4,14,0.3594,0.0625,0.2917,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.3733
39,REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,180.0000,112.0000,135.0000,180.0000,104.0000,135.0000,5,13,0.4500,0.1000,0.4500,14,2.80,True,False,True,resource_aware,,,0.3696
40,REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,220.0000,96.0000,90.0000,220.0000,72.0000,90.0000,5,9,0.5500,0.1000,0.3000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.3804
41,REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,220.0000,128.0000,120.0000,220.0000,112.0000,120.0000,5,14,0.5500,0.1000,0.4000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.3700
42,REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,180.0000,112.0000,120.0000,180.0000,84.0000,120.0000,3,12,0.7500,0.0875,0.6667,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.3719
43,REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,160.0000,90.0000,95.0000,160.0000,60.0000,95.0000,3,10,0.6667,0.0750,0.5278,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6330
44,REQ_193,VNF_3->VNF_2->VNF_5,5,5,0,60.0000,48.0000,110.0000,60.0000,40.0000,110.0000,5,10,0.1500,0.0500,0.3667,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.3802
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,80.0000,70.0000,135.0000,75.0000,70.0000,6,15,0.2812,0.0625,0.1944,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.3779
46,REQ_202,VNF_1->VNF_3->VNF_5,5,5,0,120.0000,105.0000,140.0000,120.0000,77.0000,140.0000,3,11,0.5000,0.0875,0.7778,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.3898
47,REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,85.0000,84.0000,90.0000,85.0000,56.0000,90.0000,3,14,0.3542,0.0500,0.5000,21,4.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.3847
48,REQ_208,VNF_7->VNF_4->VNF_5,5,5,0,90.0000,48.0000,70.0000,90.0000,40.0000,70.0000,4,10,0.2812,0.0500,0.2917,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.3804
49,REQ_212,VNF_4->VNF_8->VNF_3,5,5,0,100.0000,84.0000,110.0000,100.0000,78.0000,110.0000,4,13,0.3125,0.0750,0.4583,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.4010
50,REQ_217,VNF_5->VNF_7->VNF_2,5,5,0,105.0000,48.0000,85.0000,105.0000,48.0000,85.0000,2,12,0.6562,0.0500,0.7083,12,2.40,True,False,True,resource_aware,,,0.4002
51,REQ_224,VNF_5->VNF_4->VNF_8,5,5,0,105.0000,84.0000,105.0000,105.0000,60.0000,105.0000,3,10,0.4375,0.0750,0.5833,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.3998
52,REQ_229,VNF_4->VNF_6->VNF_8,5,5,0,90.0000,52.0000,45.0000,90.0000,52.0000,45.0000,4,13,0.2812,0.0500,0.1875,13,2.60,True,False,True,resource_aware,,,0.4532
53,REQ_233,VNF_7->VNF_1->VNF_8,5,5,0,170.0000,50.0000,35.0000,170.0000,50.0000,35.0000,4,10,0.5312,0.0625,0.1458,10,2.00,True,False,True,"smart_greedy,resource_aware",,,0.4770
