timestamp,request_id,cpu_utilization,bw_utilization,mem_utilization,num_used_nodes,num_used_links
2025-12-04T20:55:06.235526,REQ_1,0.0958,0.0875,0.1722,3,4
2025-12-04T20:55:06.584833,REQ_1,0.1917,0.0875,0.3444,3,5
2025-12-04T20:55:06.585809,REQ_1,0.2875,0.0875,0.5167,3,6
2025-12-04T20:55:06.585809,REQ_1,0.2875,0.0875,0.5167,4,9
2025-12-04T20:55:06.585809,REQ_1,0.3594,0.0875,0.6458,4,10
2025-12-04T20:55:06.640709,REQ_8,0.1125,0.0875,0.1722,3,4
2025-12-04T20:55:06.640709,REQ_8,0.2250,0.0875,0.3444,3,5
2025-12-04T20:55:06.641687,REQ_8,0.3375,0.0875,0.5167,3,8
2025-12-04T20:55:06.641687,REQ_8,0.4500,0.0875,0.6889,3,9
2025-12-04T20:55:06.641687,REQ_8,0.4219,0.0875,0.6458,4,11
2025-12-04T20:55:06.698587,REQ_22,0.1125,0.0625,0.0722,3,5
2025-12-04T20:55:06.699566,REQ_22,0.2250,0.0625,0.1444,3,6
2025-12-04T20:55:06.699566,REQ_22,0.3375,0.0625,0.2167,3,7
2025-12-04T20:55:06.699566,REQ_22,0.4500,0.0625,0.2889,3,8
2025-12-04T20:55:06.700542,REQ_22,0.5625,0.0625,0.3611,3,10
2025-12-04T20:55:06.768691,REQ_32,0.0958,0.0875,0.1667,3,2
2025-12-04T20:55:06.769670,REQ_32,0.1917,0.0875,0.3333,3,4
2025-12-04T20:55:06.769670,REQ_32,0.2875,0.0875,0.5000,3,7
2025-12-04T20:55:06.769670,REQ_32,0.3833,0.0875,0.6667,3,12
2025-12-04T20:55:06.770647,REQ_32,0.4792,0.0875,0.8333,3,13
2025-12-04T20:55:06.786849,REQ_38,0.1042,0.0625,0.0722,3,3
2025-12-04T20:55:06.786849,REQ_38,0.2083,0.0625,0.1444,3,4
2025-12-04T20:55:06.786849,REQ_38,0.3125,0.0625,0.2167,3,7
2025-12-04T20:55:06.787855,REQ_38,0.3125,0.0625,0.2167,4,9
2025-12-04T20:55:06.787855,REQ_38,0.3906,0.0625,0.2708,4,10
2025-12-04T20:55:06.802542,REQ_42,0.1208,0.0875,0.1611,3,4
2025-12-04T20:55:06.802542,REQ_42,0.2417,0.0875,0.3222,3,5
2025-12-04T20:55:06.803518,REQ_42,0.3625,0.0875,0.4833,3,7
2025-12-04T20:55:06.803518,REQ_42,0.4833,0.0875,0.6444,3,10
2025-12-04T20:55:06.804494,REQ_42,0.4531,0.0875,0.6042,4,11
2025-12-04T20:55:06.820700,REQ_48,0.1542,0.1000,0.1222,3,3
2025-12-04T20:55:06.821675,REQ_48,0.3083,0.1000,0.2444,3,6
