Metric,Value
Total Requests,27
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.4444
Avg BW per Deployment,72.0741
Avg MEM per Deployment,100.9259
""
Avg CPU Utilization,44.64%
Avg BW Utilization,7.59%
Avg MEM Utilization,43.14%
Std CPU Utilization,0.1549
Std BW Utilization,0.0180
Std MEM Utilization,0.1668
""
Avg Hops per Destination,2.36
Avg Deployment Time (s),0.2767
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,22
