time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,total_cpu_consumed,total_bw_consumed,total_mem_consumed,actual_cpu_used,actual_bw_used,actual_mem_used,num_used_nodes,num_used_links,avg_cpu_util_per_node,avg_bw_util_per_link,avg_mem_util_per_node,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,115.0000,70.0000,155.0000,115.0000,70.0000,155.0000,4,10,0.3594,0.0875,0.6458,10,2.00,True,False,False,,,,0.3922
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,135.0000,77.0000,155.0000,135.0000,77.0000,155.0000,4,11,0.4219,0.0875,0.6458,11,2.20,True,False,False,,,,0.0160
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,135.0000,50.0000,65.0000,135.0000,50.0000,65.0000,3,10,0.5625,0.0625,0.3611,10,2.00,True,False,False,,,,0.0105
10,REQ_32,VNF_3->VNF_8->VNF_5,5,5,0,115.0000,91.0000,150.0000,115.0000,91.0000,150.0000,3,13,0.4792,0.0875,0.8333,13,2.60,True,False,False,,,,0.0120
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,125.0000,50.0000,65.0000,125.0000,50.0000,65.0000,4,10,0.3906,0.0625,0.2708,10,2.00,True,False,False,,,,0.0131
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,145.0000,77.0000,145.0000,145.0000,77.0000,145.0000,4,11,0.4531,0.0875,0.6042,11,2.20,True,False,False,,,,0.0108
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,185.0000,80.0000,110.0000,185.0000,80.0000,110.0000,4,10,0.5781,0.1000,0.4583,10,2.00,True,False,False,,,,0.6057
14,REQ_51,VNF_4->VNF_7->VNF_2,5,5,0,100.0000,40.0000,70.0000,100.0000,40.0000,70.0000,3,10,0.4167,0.0500,0.3889,10,2.00,True,False,False,,,,0.2403
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,110.0000,50.0000,85.0000,110.0000,50.0000,85.0000,4,10,0.3438,0.0625,0.3542,10,2.00,True,False,False,,,,0.2481
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,65.0000,44.0000,90.0000,65.0000,44.0000,90.0000,3,11,0.2708,0.0500,0.5000,11,2.20,True,False,False,,,,0.2293
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,105.0000,56.0000,55.0000,105.0000,56.0000,55.0000,4,14,0.3281,0.0500,0.2292,14,2.80,True,False,False,,,,0.2209
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,130.0000,70.0000,80.0000,130.0000,70.0000,80.0000,4,14,0.4062,0.0625,0.3333,14,2.80,True,False,False,,,,0.2302
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,185.0000,80.0000,95.0000,185.0000,80.0000,95.0000,4,10,0.5781,0.1000,0.3958,10,2.00,True,False,False,,,,0.2248
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,180.0000,60.0000,90.0000,180.0000,60.0000,90.0000,4,10,0.5625,0.0750,0.3750,10,2.00,True,False,False,,,,0.2512
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,120.0000,60.0000,80.0000,120.0000,60.0000,80.0000,4,12,0.3750,0.0625,0.3333,12,2.40,True,False,False,,,,0.2387
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,115.0000,55.0000,70.0000,115.0000,55.0000,70.0000,4,11,0.3594,0.0625,0.2917,11,2.20,True,False,False,,,,0.2220
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,100.0000,70.0000,190.0000,100.0000,70.0000,190.0000,4,10,0.3125,0.0875,0.7917,10,2.00,True,False,False,,,,0.2322
31,REQ_138,VNF_4->VNF_1->VNF_6,5,5,0,165.0000,70.0000,70.0000,165.0000,70.0000,70.0000,4,10,0.5156,0.0875,0.2917,10,2.00,True,False,False,,,,0.2236
33,REQ_146,VNF_7->VNF_1->VNF_4,5,5,0,195.0000,77.0000,70.0000,195.0000,77.0000,70.0000,3,11,0.8125,0.0875,0.3889,11,2.20,True,False,False,,,,0.2220
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,90.0000,40.0000,80.0000,90.0000,40.0000,80.0000,4,10,0.2812,0.0500,0.3333,10,2.00,True,False,False,,,,0.2458
